Date,ITD,SD,LD,GD,TD,# INDY
2022-11-21,1575000,0,0,0,328125,1903125
2022-12-01,1575000,28768,0,0,328125,1931893
2022-12-06,1575000,57536,0,2398,328125,1963059
2022-12-11,1575000,86304,0,4796,328125,1994225
2022-12-16,1575000,115072,0,7194,328125,2025391
2022-12-21,1575000,143840,4795,9592,328125,2061352
2022-12-26,1575000,172608,9590,11990,328125,2097313
2022-12-31,1575000,201376,14385,14388,656250,2461399
2023-01-05,1575000,230144,19180,16786,656250,2497360
2023-01-10,1575000,258912,23975,19184,656250,2533321
2023-01-15,1575000,287680,28770,21582,656250,2569282
2023-01-20,1575000,316448,33565,23980,656250,2605243
2023-01-25,1575000,345216,38360,26378,656250,2641204
2023-01-30,1575000,373984,43155,28776,984375,3005290
2023-02-04,1575000,402752,47950,31174,984375,3041251
2023-02-09,1575000,431520,52745,33572,984375,3077212
2023-02-14,1575000,460288,57540,35970,984375,3113173
2023-02-19,1575000,489056,62335,38368,984375,3149134
2023-02-24,1575000,517824,67130,40766,984375,3185095
2023-03-01,1575000,546592,71925,43164,984375,3221056
2023-03-02,1575000,546592,71925,43164,1312500,3549181
2023-03-06,1575000,575360,76720,45562,1312500,3585142
2023-03-11,1575000,604128,81515,47960,1312500,3621103
2023-03-16,1575000,632896,86310,50358,1312500,3657064
2023-03-21,1575000,661664,91105,52756,1312500,3693025
2023-03-26,1575000,690432,95900,55154,1312500,3728986
2023-03-31,1575000,719200,100695,57552,1312500,3764947
2023-04-01,1575000,719200,100695,57552,1640625,4093072
2023-04-05,1575000,747968,105490,59950,1640625,4129033
2023-04-10,1575000,776736,110285,62348,1640625,4164994
2023-04-15,1575000,805504,115080,64746,1640625,4200955
2023-04-20,1575000,834272,119875,67144,1640625,4236916
2023-04-25,1575000,863040,124670,69542,1640625,4272877
2023-04-30,1575000,891808,129465,71940,1640625,4308838
2023-05-02,1575000,891808,129465,71940,1968750,4636963
2023-05-05,1575000,920576,134260,74338,1968750,4672924
2023-05-10,1575000,949344,139055,76736,1968750,4708885
2023-05-15,1575000,978112,143850,79134,1968750,4744846
2023-05-20,1575000,1006880,148645,81532,1968750,4780807
2023-05-25,1575000,1035648,153440,83930,1968750,4816768
2023-05-30,1575000,1064416,158235,86328,1968750,4852729
2023-06-01,1575000,1064416,158235,86328,2296875,5180854
2023-06-04,1575000,1093184,163030,88726,2296875,5216815
2023-06-09,1575000,1121952,167825,91124,2296875,5252776
2023-06-14,1575000,1150720,172620,93522,2296875,5288737
2023-06-19,1575000,1179488,177415,95920,2296875,5324698
2023-06-24,1575000,1208256,182210,98318,2296875,5360659
2023-06-29,1575000,1237024,187005,100716,2296875,5396620
2023-07-01,1575000,1237024,187005,100716,2625000,5724745
2023-07-04,1575000,1265792,191800,103114,2625000,5760706
2023-07-09,1575000,1294560,196595,105512,2625000,5796667
2023-07-14,1575000,1323328,201390,107910,2625000,5832628
2023-07-19,1575000,1352096,206185,110308,2625000,5868589
2023-07-24,1575000,1380864,210980,112706,2625000,5904550
2023-07-29,1575000,1409632,215775,115104,2625000,5940511
2023-08-01,1575000,1409632,215775,115104,2953125,6268636
2023-08-03,1575000,1438400,220570,117502,2953125,6304597
2023-08-08,1575000,1467168,225365,119900,2953125,6340558
2023-08-13,1575000,1495936,230160,122298,2953125,6376519
2023-08-18,1575000,1524704,234955,124696,2953125,6412480
2023-08-23,1575000,1553472,239750,127094,2953125,6448441
2023-08-28,1575000,1582240,244545,129492,2953125,6484402
2023-08-31,1575000,1582240,244545,129492,3281250,6812527
2023-09-02,1575000,1611008,249340,131890,3281250,6848488
2023-09-07,1575000,1639776,254135,134288,3281250,6884449
2023-09-12,1575000,1668544,258930,136686,3281250,6920410
2023-09-17,1575000,1697312,263725,139084,3281250,6956371
2023-09-22,1575000,1726080,268520,141482,3281250,6992332
2023-09-27,1575000,1754848,273315,143880,3281250,7028293
2023-10-01,1575000,1754848,273315,143880,3609375,7356418
2023-10-02,1575000,1783616,278110,146278,3609375,7392379
2023-10-07,1575000,1812384,282905,148676,3609375,7428340
2023-10-12,1575000,1841152,287700,151074,3609375,7464301
2023-10-17,1575000,1869920,292495,153472,3609375,7500262
2023-10-22,1575000,1898688,297290,155870,3609375,7536223
2023-10-27,1575000,1927456,302085,158268,3609375,7572184
2023-10-31,1575000,1927456,302085,158268,3937500,7900309
2023-11-01,1575000,1956224,306880,160666,3937500,7936270
2023-11-06,1575000,1984992,311675,163064,3937500,7972231
2023-11-11,1575000,2013760,316470,165462,3937500,8008192
2023-11-16,1575000,2042528,321265,167860,3937500,8044153
2023-11-21,1575000,2071296,326060,170258,3937500,8080114
2023-11-26,1575000,2100064,330855,172656,3937500,8116075
2023-11-30,1575000,2100064,330855,172656,4265625,8444200
2023-12-01,1575000,2133626,335650,175054,4265625,8484955
2023-12-06,1575000,2167188,340445,178650,4265625,8526908
2023-12-11,1575000,2200750,345240,182246,4265625,8568861
2023-12-16,1575000,2234312,350035,185842,4265625,8610814
2023-12-21,1575000,2267874,359625,189438,4265625,8657562
2023-12-26,1575000,2301436,369215,193034,4265625,8704310
2023-12-31,1575000,2334998,378805,196630,4593750,9079183
2024-01-05,1575000,2368560,388395,200226,4593750,9125931
2024-01-10,1575000,2402122,397985,203822,4593750,9172679
2024-01-15,1575000,2435684,407575,207418,4593750,9219427
2024-01-20,1575000,2469246,417165,211014,4593750,9266175
2024-01-25,1575000,2502808,426755,214610,4593750,9312923
2024-01-30,1575000,2536370,436345,218206,4921875,9687796
2024-02-04,1575000,2569932,445935,221802,4921875,9734544
2024-02-09,1575000,2603494,455525,225398,4921875,9781292
2024-02-14,1575000,2637056,465115,228994,4921875,9828040
2024-02-19,1575000,2670618,474705,232590,4921875,9874788
2024-02-24,1575000,2704180,484295,236186,4921875,9921536
2024-02-29,1575000,2737742,493885,239782,4921875,9968284
2024-03-01,1575000,2737742,493885,239782,5250000,10296409
2024-03-05,1575000,2771304,503475,243378,5250000,10343157
2024-03-10,1575000,2804866,513065,246974,5250000,10389905
2024-03-15,1575000,2838428,522655,250570,5250000,10436653
2024-03-20,1575000,2871990,532245,254166,5250000,10483401
2024-03-25,1575000,2905552,541835,257762,5250000,10530149
2024-03-30,1575000,2939114,551425,261358,5250000,10576897
2024-03-31,1575000,2939114,551425,261358,5578125,10905022
2024-04-04,1575000,2972676,561015,264954,5578125,10951770
2024-04-09,1575000,3006238,570605,268550,5578125,10998518
2024-04-14,1575000,3039800,580195,272146,5578125,11045266
2024-04-19,1575000,3073362,589785,275742,5578125,11092014
2024-04-24,1575000,3106924,599375,279338,5578125,11138762
2024-04-29,1575000,3140486,608965,282934,5578125,11185510
2024-05-01,1575000,3140486,608965,282934,5906250,11513635
2024-05-04,1575000,3174048,618555,286530,5906250,11560383
2024-05-09,1575000,3207610,628145,290126,5906250,11607131
2024-05-14,1575000,3241172,637735,293722,5906250,11653879
2024-05-19,1575000,3274734,647325,297318,5906250,11700627
2024-05-24,1575000,3308296,656915,300914,5906250,11747375
2024-05-29,1575000,3341858,666505,304510,5906250,11794123
2024-05-31,1575000,3341858,666505,304510,6234375,12122248
2024-06-03,1575000,3375420,676095,308106,6234375,12168996
2024-06-08,1575000,3408982,685685,311702,6234375,12215744
2024-06-13,1575000,3442544,695275,315298,6234375,12262492
2024-06-18,1575000,3476106,704865,318894,6234375,12309240
2024-06-23,1575000,3509668,714455,322490,6234375,12355988
2024-06-28,1575000,3543230,724045,326086,6234375,12402736
2024-06-30,1575000,3543230,724045,326086,6562500,12730861
2024-07-03,1575000,3576792,733635,329682,6562500,12777609
2024-07-08,1575000,3610354,743225,333278,6562500,12824357
2024-07-13,1575000,3643916,752815,336874,6562500,12871105
2024-07-18,1575000,3677478,762405,340470,6562500,12917853
2024-07-23,1575000,3711040,771995,344066,6562500,12964601
2024-07-28,1575000,3744602,781585,347662,6562500,13011349
2024-07-31,1575000,3744602,781585,347662,6890625,13339474
2024-08-02,1575000,3778164,791175,351258,6890625,13386222
2024-08-07,1575000,3811726,800765,354854,6890625,13432970
2024-08-12,1575000,3845288,810355,358450,6890625,13479718
2024-08-17,1575000,3878850,819945,362046,6890625,13526466
2024-08-22,1575000,3912412,829535,365642,6890625,13573214
2024-08-27,1575000,3945974,839125,369238,6890625,13619962
2024-08-30,1575000,3945974,839125,369238,7218750,13948087
2024-09-01,1575000,3979536,848715,372834,7218750,13994835
2024-09-06,1575000,4013098,858305,376430,7218750,14041583
2024-09-11,1575000,4046660,867895,380026,7218750,14088331
2024-09-16,1575000,4080222,877485,383622,7218750,14135079
2024-09-21,1575000,4113784,887075,387218,7218750,14181827
2024-09-26,1575000,4147345,896665,390814,7218750,14228574
2024-09-30,1575000,4147345,896665,390814,7546875,14556699
2024-10-01,1575000,4180906,906255,394410,7546875,14603446
2024-10-06,1575000,4214467,915845,398006,7546875,14650193
2024-10-11,1575000,4248028,925434,401602,7546875,14696939
2024-10-16,1575000,4281589,935023,405198,7546875,14743685
2024-10-21,1575000,4315150,944612,408794,7546875,14790431
2024-10-26,1575000,4348711,954201,412390,7546875,14837177
2024-10-30,1575000,4348711,954201,412390,7875000,15165302
2024-10-31,1575000,4382272,963790,415986,7875000,15212048
2024-11-05,1575000,4415833,973379,419582,7875000,15258794
2024-11-10,1575000,4449394,982968,423178,7875000,15305540
2024-11-15,1575000,4482955,992557,426774,7875000,15352286
2024-11-20,1575000,4516516,1002146,430370,7875000,15399032
2024-11-25,1575000,4550077,1011735,433966,7875000,15445778
2024-11-30,1575000,4588433,1021324,437562,7875000,15497319
2024-12-05,1575000,4626789,1030913,442357,7875000,15550059
2024-12-10,1575000,4665145,1040502,447152,7875000,15602799
2024-12-15,1575000,4703501,1050091,451947,7875000,15655539
2024-12-20,1575000,4741857,1064474,456742,7875000,15713073
2024-12-25,1575000,4780213,1078857,461537,7875000,15770607
2024-12-30,1575000,4818569,1093240,466332,7875000,15828141
2025-01-04,1575000,4856925,1107623,471127,7875000,15885675
2025-01-09,1575000,4895281,1122006,475922,7875000,15943209
2025-01-14,1575000,4933637,1136389,480717,7875000,16000743
2025-01-19,1575000,4971993,1150772,485512,7875000,16058277
2025-01-24,1575000,5010349,1165155,490307,7875000,16115811
2025-01-29,1575000,5048705,1179538,495102,7875000,16173345
2025-02-03,1575000,5087061,1193921,499897,7875000,16230879
2025-02-08,1575000,5125417,1208304,504692,7875000,16288413
2025-02-13,1575000,5163773,1222687,509487,7875000,16345947
2025-02-18,1575000,5202129,1237070,514282,7875000,16403481
2025-02-23,1575000,5240485,1251453,519077,7875000,16461015
2025-02-28,1575000,5278841,1265836,523872,7875000,16518549
2025-03-05,1575000,5317197,1280219,528667,7875000,16576083
2025-03-10,1575000,5355553,1294602,533462,7875000,16633617
2025-03-15,1575000,5393909,1308985,538257,7875000,16691151
2025-03-20,1575000,5432265,1323368,543052,7875000,16748685
2025-03-25,1575000,5470621,1337751,547847,7875000,16806219
2025-03-30,1575000,5508977,1352134,552642,7875000,16863753
2025-04-04,1575000,5547333,1366517,557437,7875000,16921287
2025-04-09,1575000,5585689,1380900,562232,7875000,16978821
2025-04-14,1575000,5624045,1395283,567027,7875000,17036355
2025-04-19,1575000,5662401,1409666,571822,7875000,17093889
2025-04-24,1575000,5700757,1424049,576617,7875000,17151423
2025-04-29,1575000,5739113,1438432,581412,7875000,17208957
2025-05-04,1575000,5777469,1452815,586207,7875000,17266491
2025-05-09,1575000,5815825,1467198,591002,7875000,17324025
2025-05-14,1575000,5854181,1481581,595797,7875000,17381559
2025-05-19,1575000,5892537,1495964,600592,7875000,17439093
2025-05-24,1575000,5930893,1510347,605387,7875000,17496627
2025-05-29,1575000,5969249,1524730,610182,7875000,17554161
2025-06-03,1575000,6007605,1539113,614977,7875000,17611695
2025-06-08,1575000,6045961,1553496,619772,7875000,17669229
2025-06-13,1575000,6084317,1567879,624567,7875000,17726763
2025-06-18,1575000,6122673,1582262,629362,7875000,17784297
2025-06-23,1575000,6161029,1596645,634157,7875000,17841831
2025-06-28,1575000,6199385,1611028,638952,7875000,17899365
2025-07-03,1575000,6237741,1625411,643747,7875000,17956899
2025-07-08,1575000,6276097,1639794,648542,7875000,18014433
2025-07-13,1575000,6314453,1654177,653336,7875000,18071966
2025-07-18,1575000,6352809,1668560,658130,7875000,18129499
2025-07-23,1575000,6391165,1682943,662924,7875000,18187032
2025-07-28,1575000,6429521,1697326,667718,7875000,18244565
2025-08-02,1575000,6467877,1711709,672512,7875000,18302098
2025-08-07,1575000,6506233,1726092,677306,7875000,18359631
2025-08-12,1575000,6544589,1740475,682100,7875000,18417164
2025-08-17,1575000,6582945,1754858,686894,7875000,18474697
2025-08-22,1575000,6621301,1769241,691688,7875000,18532230
2025-08-27,1575000,6659657,1783624,696482,7875000,18589763
2025-09-01,1575000,6698013,1798007,701276,7875000,18647296
2025-09-06,1575000,6736369,1812390,706070,7875000,18704829
2025-09-11,1575000,6774725,1826773,710864,7875000,18762362
2025-09-16,1575000,6813081,1841156,715658,7875000,18819895
2025-09-21,1575000,6851437,1855539,720452,7875000,18877428
2025-09-26,1575000,6889793,1869922,725246,7875000,18934961
2025-10-01,1575000,6928149,1884305,730040,7875000,18992494
2025-10-06,1575000,6966505,1898688,734834,7875000,19050027
2025-10-11,1575000,7004861,1913071,739628,7875000,19107560
2025-10-16,1575000,7043217,1927454,744422,7875000,19165093
2025-10-21,1575000,7081573,1941837,749216,7875000,19222626
2025-10-26,1575000,7119929,1956220,754010,7875000,19280159
2025-10-31,1575000,7158285,1970603,758804,7875000,19337692
2025-11-05,1575000,7196641,1984986,763598,7875000,19395225
2025-11-10,1575000,7234997,1999369,768392,7875000,19452758
2025-11-15,1575000,7273353,2013752,773186,7875000,19510291
2025-11-20,1575000,7311709,2028135,777980,7875000,19567824
2025-11-25,1575000,7350065,2042518,782774,7875000,19625357
2025-11-30,1575000,7393215,2056901,787568,7875000,19687684
2025-12-05,1575000,7436365,2071284,793561,7875000,19751210
2025-12-10,1575000,7479515,2085667,799554,7875000,19814736
2025-12-15,1575000,7522665,2100050,805547,7875000,19878262
2025-12-20,1575000,7565815,2119228,811540,7875000,19946583
2025-12-25,1575000,7608965,2138406,817533,7875000,20014904
2025-12-30,1575000,7652115,2157584,823526,7875000,20083225
2026-01-04,1575000,7695265,2176762,829519,7875000,20151546
2026-01-09,1575000,7738415,2195940,835512,7875000,20219867
2026-01-14,1575000,7781565,2215118,841505,7875000,20288188
2026-01-19,1575000,7824715,2234296,847498,7875000,20356509
